ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
czech-3_and-1,,czech,3_and,a,a,a,,Dunn2012,,false,^ a $,default
danish-3_and-1,,danish,3_and,"ɒw, ʌ",ɒ.w,ɒ w,,Dunn2012,,false,^ ɒ . w $,default
dutchlist-3_and-1,,dutchlist,3_and,ɛn,ɛ.n,ɛ n,,Dunn2012,,false,^ ɛ . n $,default
english-3_and-1,,english,3_and,ænd,æ.n.d,æ n d,,Dunn2012,,false,^ æ . n . d $,default
french-3_and-1,,french,3_and,e,e,e,,Dunn2012,,false,^ e $,default
german-3_and-1,,german,3_and,ʊnt,ʊ.n.t,ʊ n t,,Dunn2012,,false,^ ʊ . n . t $,default
greekmod-3_and-1,,greekmod,3_and,"ce̞, c(i)",c.e̞,c e̞,,Dunn2012,,false,^ c . e̞ $,default
italian-3_and-1,,italian,3_and,"e, ed",e,e,,Dunn2012,,false,^ e $,default
marathi-3_and-1,,marathi,3_and,'ani,a.n.i,a n i,,Dunn2012,,false,^ a . n . i $,default
polish-3_and-1,,polish,3_and,i,i,i,,Dunn2012,,false,^ i $,default
portuguesest-3_and-1,,portuguesest,3_and,i,i,i,,Dunn2012,,false,^ i $,default
russian-3_and-1,,russian,3_and,i,i,i,,Dunn2012,,false,^ i $,default
spanish-3_and-1,,spanish,3_and,i,i,i,,Dunn2012,,false,^ i $,default
swedish-3_and-1,,swedish,3_and,ɔ(kː),ɔ.kː,ɔ kː,,Dunn2012,,false,^ ɔ . kː $,default
oriya-3_and-1,,oriya,3_and,o,o,o,,Dunn2012,,false,^ o $,default
bihari-3_and-1,,bihari,3_and,aur,au.r,au r,,Dunn2012,,false,^ au . r $,default
urdu-3_and-1,,urdu,3_and,ʔɔɾ,ʔ.ɔ.ɾ,ʔ ɔ ɾ,,Dunn2012,,false,^ ʔ . ɔ . ɾ $,default
armenianmod-4_animal-1,,armenianmod,4_animal,kɛntʰɑˈni,k.ɛ.n.tʰ.ɑ.n.i,k ɛ n tʰ ɑ n i,,Dunn2012,,false,^ k . ɛ . n . tʰ . ɑ . n . i $,default
bretonst-4_animal-1,,bretonst,4_animal,ɑ̃ˈneval,ɑ̃.n.e.v.a.l,ɑ̃ n e v a l,,Dunn2012,,false,^ ɑ̃ . n . e . v . a . l $,default
catalan-4_animal-1,,catalan,4_animal,əni’mal,ə.n.i.m.a.l,ə n i m a l,,Dunn2012,,false,^ ə . n . i . m . a . l $,default
czech-4_animal-1,,czech,4_animal,zviːr̝ɛ,z.v.iː.r̝.ɛ,z v iː r̝ ɛ,,Dunn2012,,false,^ z . v . iː . r̝ . ɛ $,default
danish-4_animal-1,,danish,4_animal,"ˈd̥yːʌ, 'd̥yɐ̯",d̥.yːʌ,d̥/d yː ʌ,,Dunn2012,,false,^ d̥ . yːʌ $,default
dutchlist-4_animal-1,,dutchlist,4_animal,dir,d.i.r,d i r,,Dunn2012,,false,^ d . i . r $,default
english-4_animal-1,,english,4_animal,'ænɪməl,æ.n.ɪ.m.ə.l,æ n ɪ m ə l,,Dunn2012,,false,^ æ . n . ɪ . m . ə . l $,default
french-4_animal-1,,french,4_animal,animal,a.n.i.m.a.l,a n i m a l,,Dunn2012,,false,^ a . n . i . m . a . l $,default
german-4_animal-1,,german,4_animal,ti:ɐ̯,t.iːɐ̯,t iː ɐ̯,,Dunn2012,,false,^ t . iːɐ̯ $,default
greekmod-4_animal-1,,greekmod,4_animal,ˈzo̞ˌo̞,z.o̞o̞,z o̞ː,,Dunn2012,,false,^ z . o̞o̞ $,default
italian-4_animal-1,,italian,4_animal,ani'male,a.n.i.m.a.l.e,a n i m a l e,,Dunn2012,,false,^ a . n . i . m . a . l . e $,default
polish-4_animal-1,,polish,4_animal,ˈzvʲɛʒɛ̃,z.vʲ.ɛ.ʒ.ɛ̃,z vʲ ɛ ʒ ɛ̃,,Dunn2012,,false,^ z . vʲ . ɛ . ʒ . ɛ̃ $,default
portuguesest-4_animal-1,,portuguesest,4_animal,ɐniˈmaɫ,ɐ.n.i.m.a.ɫ,ɐ n i m a ɫ,,Dunn2012,,false,^ ɐ . n . i . m . a . ɫ $,default
russian-4_animal-1,,russian,4_animal,ʒɨ'votnoe,ʒ.ɨ.v.o.t.n.oe,ʒ ɨ v o t n oe,,Dunn2012,,false,^ ʒ . ɨ . v . o . t . n . oe $,default
spanish-4_animal-1,,spanish,4_animal,ani'mal,a.n.i.m.a.l,a n i m a l,,Dunn2012,,false,^ a . n . i . m . a . l $,default
swedish-4_animal-1,,swedish,4_animal,jʉːr,j.ʉː.r,j ʉː r,,Dunn2012,,false,^ j . ʉː . r $,default
oriya-4_animal-1,,oriya,4_animal,praṇi,p.r.a.ɳ.i,p r a ɳ i,,Dunn2012,,false,^ p . r . a . ɳ . i $,default
oriya-4_animal-2,,oriya,4_animal,pɔsu,p.ɔ.s.u,p ɔ s u,,Dunn2012,,false,^ p . ɔ . s . u $,default
bihari-4_animal-1,,bihari,4_animal,janbər,j.a.n.b.ə.r,j a n b ə r,,Dunn2012,,false,^ j . a . n . b . ə . r $,default
oriya-4_animal-3,,oriya,4_animal,ǰɔntu,ǰ.ɔ.n.t.u,ǰ/dʒ ɔ n t u,,Dunn2012,,false,^ ǰ . ɔ . n . t . u $,default
urdu-4_animal-1,,urdu,4_animal,ʤɑnwəɾ,ʤ.ɑ.n.w.ə.ɾ,dʒ ɑ n w ə ɾ,,Dunn2012,,false,^ ʤ . ɑ . n . w . ə . ɾ $,default
bretonst-4_animal-2,,bretonst,4_animal,lo.ɛ̃n,l.o.ɛ̃.n,l o ɛ̃ n,,Dunn2012,,false,^ l . o . ɛ̃ . n $,default
marathi-4_animal-1,,marathi,4_animal,dzən'awəɾ,d.z.ə.n.a.w.ə.ɾ,d z ə n a w ə ɾ,,Dunn2012,,false,^ d . z . ə . n . a . w . ə . ɾ $,default
armenianmod-5_ashes-1,,armenianmod,5_ashes,moˈχiɾ,m.o.χ.i.ɾ,m o χ i ɾ,,Dunn2012,,false,^ m . o . χ . i . ɾ $,default
bretonst-5_ashes-1,,bretonst,5_ashes,'ly:dy,l.yː.d.y,l yː d y,,Dunn2012,,false,^ l . yː . d . y $,default
catalan-5_ashes-1,,catalan,5_ashes,'sɛndrə,s.ɛ.n.d.r.ə,s ɛ n d r ə,,Dunn2012,,false,^ s . ɛ . n . d . r . ə $,default
czech-5_ashes-1,,czech,5_ashes,popɛl,p.o.p.ɛ.l,p o p ɛ l,,Dunn2012,,false,^ p . o . p . ɛ . l $,default
danish-5_ashes-1,,danish,5_ashes,ˈasg̥ʰə,a.s.g̥ʰ.ə,a s g̥ʰ ə,,Dunn2012,,false,^ a . s . g̥ʰ . ə $,default
dutchlist-5_ashes-1,,dutchlist,5_ashes,ɑs,ɑ.s,ɑ s,,Dunn2012,,false,^ ɑ . s $,default
english-5_ashes-1,,english,5_ashes,æʃɪz,æ.ʃ.ɪ.z,æ ʃ ɪ z,,Dunn2012,,false,^ æ . ʃ . ɪ . z $,default
french-5_ashes-1,,french,5_ashes,sɑ̃dʀ,s.ɑ̃.d.ʀ,s ɑ̃ d ʀ,,Dunn2012,,false,^ s . ɑ̃ . d . ʀ $,default
german-5_ashes-1,,german,5_ashes,'aʃə,a.ʃ.ə,a ʃ ə,,Dunn2012,,false,^ a . ʃ . ə $,default
greekmod-5_ashes-1,,greekmod,5_ashes,ˈstaxti,s.t.a.x.t.i,s t a x t i,,Dunn2012,,false,^ s . t . a . x . t . i $,default
italian-5_ashes-1,,italian,5_ashes,'tʃenere,ʧ.e.n.e.r.e,tʃ e n e r e,,Dunn2012,,false,^ ʧ . e . n . e . r . e $,default
marathi-5_ashes-1,,marathi,5_ashes,ɾakʰ,ɾ.a.kʰ,ɾ a kʰ,,Dunn2012,,false,^ ɾ . a . kʰ $,default
polish-5_ashes-1,,polish,5_ashes,ˈpɔpʲuw,p.ɔ.pʲ.u.w,p ɔ pʲ u w,,Dunn2012,,false,^ p . ɔ . pʲ . u . w $,default
portuguesest-5_ashes-1,,portuguesest,5_ashes,ˈsĩzɐʃ,s.ĩ.z.ɐ.ʃ,s ĩ z ɐ ʃ,,Dunn2012,,false,^ s . ĩ . z . ɐ . ʃ $,default
russian-5_ashes-1,,russian,5_ashes,zo'la,z.o.l.a,z o l a,,Dunn2012,,false,^ z . o . l . a $,default
spanish-5_ashes-1,,spanish,5_ashes,θe'niθas,θ.e.n.i.θ.a.s,θ e n i θ a s,,Dunn2012,,false,^ θ . e . n . i . θ . a . s $,default
swedish-5_ashes-1,,swedish,5_ashes,stɔft,s.t.ɔ.f.t,s t ɔ f t,,Dunn2012,,false,^ s . t . ɔ . f . t $,default
bihari-5_ashes-1,,bihari,5_ashes,chaur,cʰ.au.r,cʰ au r,,Dunn2012,,false,^ cʰ . au . r $,default
oriya-5_ashes-1,,oriya,5_ashes,bhɔsmoɔ,bʱ.ɔ.s.m.oɔ,bʱ ɔ s m oɔ,,Dunn2012,,false,^ bʱ . ɔ . s . m . oɔ $,default
oriya-5_ashes-2,,oriya,5_ashes,pãũsɔ,p.aːũ.s.ɔ,p aː ũ s ɔ,,Dunn2012,,false,^ p . aːũ . s . ɔ $,default
urdu-5_ashes-1,,urdu,5_ashes,ɾɑkʰ,ɾ.ɑ.kʰ,ɾ ɑ kʰ,,Dunn2012,,false,^ ɾ . ɑ . kʰ $,default
swedish-5_ashes-2,,swedish,5_ashes,'aska,a.s.k.a,a s k a,,Dunn2012,,false,^ a . s . k . a $,default
marathi-5_ashes-2,,marathi,5_ashes,'bʱəsmə,bʱ.ə.s.m.ə,bʱ ə s m ə,,Dunn2012,,false,^ bʱ . ə . s . m . ə $,default
catalan-6_at-1,,catalan,6_at,a,a,a,,Dunn2012,,false,^ a $,default
czech-6_at-1,,czech,6_at,ʊ,ʊ,ʊ,,Dunn2012,,false,^ ʊ $,default
danish-6_at-1,,danish,6_at,veð,v.e.ð,v e ð,,Dunn2012,,false,^ v . e . ð $,default
dutchlist-6_at-1,,dutchlist,6_at,tə,t.ə,t ə,,Dunn2012,,false,^ t . ə $,default
english-6_at-1,,english,6_at,æt,æ.t,æ t,,Dunn2012,,false,^ æ . t $,default
french-6_at-1,,french,6_at,a,a,a,,Dunn2012,,false,^ a $,default
german-6_at-1,,german,6_at,an,a.n,a n,,Dunn2012,,false,^ a . n $,default
greekmod-6_at-1,,greekmod,6_at,se̞,s.e̞,s e̞,,Dunn2012,,false,^ s . e̞ $,default
italian-6_at-1,,italian,6_at,"a, ad",a,a,,Dunn2012,,false,^ a $,default
marathi-6_at-1,,marathi,6_at,"t, tʰe",t,t,,Dunn2012,,false,^ t $,default
polish-6_at-1,,polish,6_at,v,v,v,,Dunn2012,,false,^ v $,default
portuguesest-6_at-1,,portuguesest,6_at,ɐ̃j,ɐ̃.j,ɐ̃ j,,Dunn2012,,false,^ ɐ̃ . j $,default
russian-6_at-1,,russian,6_at,v,v,v,,Dunn2012,,false,^ v $,default
spanish-6_at-1,,spanish,6_at,a,a,a,,Dunn2012,,false,^ a $,default
swedish-6_at-1,,swedish,6_at,viːd,v.iː.d,v iː d,,Dunn2012,,false,^ v . iː . d $,default
bretonst-6_at-1,,bretonst,6_at,"e, ẽn",e,e,,Dunn2012,,false,^ e $,default
oriya-6_at-1,,oriya,6_at,ṭhare,ʈʰ.a.r.e,ʈʰ a r e,,Dunn2012,,false,^ ʈʰ . a . r . e $,default
oriya-6_at-2,,oriya,6_at,re,r.e,r e,,Dunn2012,,false,^ r . e $,default
urdu-6_at-1,,urdu,6_at,"pəɾ, pɛ",p.ə.ɾ,p ə ɾ,,Dunn2012,,false,^ p . ə . ɾ $,default
czech-6_at-2,,czech,6_at,pr̝̊ɪ,p.r̝.ɪ,p r̝ ɪ,,Dunn2012,,false,^ p . r̝ . ɪ $,default
russian-6_at-2,,russian,6_at,u,u,u,,Dunn2012,,false,^ u $,default
catalan-6_at-2,,catalan,6_at,pər,p.ə.r,p ə r,,Dunn2012,,false,^ p . ə . r $,default
portuguesest-6_at-2,,portuguesest,6_at,a,a,a,,Dunn2012,,false,^ a $,default
swedish-6_at-2,,swedish,6_at,po:,p.oː,p oː,,Dunn2012,,false,^ p . oː $,default
marathi-6_at-2,,marathi,6_at,'wadzta,w.a.d.z.t.a,w a d z t a,,Dunn2012,,false,^ w . a . d . z . t . a $,default
armenianmod-6_at-1,,armenianmod,6_at,um,u.m,u m,,Dunn2012,,false,^ u . m $,default
armenianmod-6_at-2,,armenianmod,6_at,in,i.n,i n,,Dunn2012,,false,^ i . n $,default
bretonst-7_back-1,,bretonst,7_back,kɛjn,k.ɛ.j.n,k ɛ j n,,Dunn2012,,false,^ k . ɛ . j . n $,default
catalan-7_back-1,,catalan,7_back,əs'paʎʎə,ə.s.p.a.ʎː.ə,ə s p a ʎː ə,,Dunn2012,,false,^ ə . s . p . a . ʎː . ə $,default
danish-7_back-1,,danish,7_back,b̥ɛj,b̥.ɛ.j,b̥/b ɛ j,,Dunn2012,,false,^ b̥ . ɛ . j $,default
dutchlist-7_back-1,,dutchlist,7_back,rʏχ,r.ʏ.χ,r ʏ χ,,Dunn2012,,false,^ r . ʏ . χ $,default
english-7_back-1,,english,7_back,bæk,b.æ.k,b æ k,,Dunn2012,,false,^ b . æ . k $,default
french-7_back-1,,french,7_back,do,d.o,d o,,Dunn2012,,false,^ d . o $,default
german-7_back-1,,german,7_back,'rijkn̩,r.i.j.k.n̩,r i j k n̩,,Dunn2012,,false,^ r . i . j . k . n̩ $,default
greekmod-7_back-1,,greekmod,7_back,ˈplati,p.l.a.t.i,p l a t i,,Dunn2012,,false,^ p . l . a . t . i $,default
italian-7_back-1,,italian,7_back,'dɔsso,d.ɔ.sː.o,d ɔ sː o,,Dunn2012,,false,^ d . ɔ . sː . o $,default
marathi-7_back-1,,marathi,7_back,patʰ,p.a.tʰ,p a tʰ,,Dunn2012,,false,^ p . a . tʰ $,default
polish-7_back-1,,polish,7_back,'plɛʦɨ,p.l.ɛ.ʦ.ɨ,p l ɛ ts ɨ,,Dunn2012,,false,^ p . l . ɛ . ʦ . ɨ $,default
russian-7_back-1,,russian,7_back,spi'na,s.p.i.n.a,s p i n a,,Dunn2012,,false,^ s . p . i . n . a $,default
spanish-7_back-1,,spanish,7_back,es'palda,e.s.p.a.l.d.a,e s p a l d a,,Dunn2012,,false,^ e . s . p . a . l . d . a $,default
swedish-7_back-1,,swedish,7_back,rʏg,r.ʏ.g,r ʏ g,,Dunn2012,,false,^ r . ʏ . g $,default
bihari-7_back-1,,bihari,7_back,piʈa,p.i.ʈ.a,p i ʈ a,,Dunn2012,,false,^ p . i . ʈ . a $,default
bihari-7_back-2,,bihari,7_back,ɖar,ɖ.a.r,ɖ a r,,Dunn2012,,false,^ ɖ . a . r $,default
oriya-7_back-1,,oriya,7_back,piṭhi,p.i.ʈʰ.i,p i ʈʰ i,,Dunn2012,,false,^ p . i . ʈʰ . i $,default
urdu-7_back-1,,urdu,7_back,kəməɾ,k.ə.m.ə.ɾ,k ə m ə ɾ,,Dunn2012,,false,^ k . ə . m . ə . ɾ $,default
catalan-7_back-2,,catalan,7_back,əs'kɛnə,ə.s.k.ɛ.n.ə,ə s k ɛ n ə,,Dunn2012,,false,^ ə . s . k . ɛ . n . ə $,default
portuguesest-7_back-1,,portuguesest,7_back,ˈkɔʃtɐʃ,k.ɔ.ʃ.t.ɐ.ʃ,k ɔ ʃ t ɐ ʃ,,Dunn2012,,false,^ k . ɔ . ʃ . t . ɐ . ʃ $,default
armenianmod-7_back-1,,armenianmod,7_back,meʧʰkʰ,m.e.ʧʰ.kʰ,m e tʃʰ kʰ,,Dunn2012,,false,^ m . e . ʧʰ . kʰ $,default
czech-7_back-1,,czech,7_back,zaːda,z.aː.d.a,z aː d a,,Dunn2012,,false,^ z . aː . d . a $,default
bretonst-8_bad-1,,bretonst,8_bad,fal,f.a.l,f a l,,Dunn2012,,false,^ f . a . l $,default
catalan-8_bad-1,,catalan,8_bad,mal,m.a.l,m a l,,Dunn2012,,false,^ m . a . l $,default
danish-8_bad-1,,danish,8_bad,ɔn,ɔ.n,ɔ n,,Dunn2012,,false,^ ɔ . n $,default
dutchlist-8_bad-1,,dutchlist,8_bad,slɛχt,s.l.ɛ.χ.t,s l ɛ χ t,,Dunn2012,,false,^ s . l . ɛ . χ . t $,default
english-8_bad-1,,english,8_bad,bæd,b.æ.d,b æ d,,Dunn2012,,false,^ b . æ . d $,default
french-8_bad-1,,french,8_bad,mɔvɛ,m.ɔ.v.ɛ,m ɔ v ɛ,,Dunn2012,,false,^ m . ɔ . v . ɛ $,default
german-8_bad-1,,german,8_bad,ʃlɛçt,ʃ.l.ɛ.ç.t,ʃ l ɛ ç t,,Dunn2012,,false,^ ʃ . l . ɛ . ç . t $,default
greekmod-8_bad-1,,greekmod,8_bad,kaˈko̞s,k.a.k.o̞.s,k a k o̞ s,,Dunn2012,,false,^ k . a . k . o̞ . s $,default
italian-8_bad-1,,italian,8_bad,kat'tivo,k.a.tː.i.v.o,k a tː i v o,,Dunn2012,,false,^ k . a . tː . i . v . o $,default
marathi-8_bad-1,,marathi,8_bad,wa͜i:ʈ,w.a͜iː.ʈ,w aiː ʈ,,Dunn2012,,false,^ w . a͜iː . ʈ $,default
polish-8_bad-1,,polish,8_bad,zwɨ,z.w.ɨ,z w ɨ,,Dunn2012,,false,^ z . w . ɨ $,default
portuguesest-8_bad-1,,portuguesest,8_bad,maw,m.a.w,m a w,,Dunn2012,,false,^ m . a . w $,default
russian-8_bad-1,,russian,8_bad,plo'xoj,p.l.o.x.o.j,p l o x o j,,Dunn2012,,false,^ p . l . o . x . o . j $,default
spanish-8_bad-1,,spanish,8_bad,'malo,m.a.l.o,m a l o,,Dunn2012,,false,^ m . a . l . o $,default
swedish-8_bad-1,,swedish,8_bad,ˈdoː.lɪ(ɡ),d.oː.l.ɪ.ɡ,d oː l ɪ ɡ,,Dunn2012,,false,^ d . oː . l . ɪ . ɡ $,default
armenianmod-8_bad-1,,armenianmod,8_bad,vɑt,v.ɑ.t,v ɑ t,,Dunn2012,,false,^ v . ɑ . t $,default
bihari-8_bad-1,,bihari,8_bad,khərap,kʰ.ə.r.a.p,kʰ ə r a p,,Dunn2012,,false,^ kʰ . ə . r . a . p $,default
oriya-8_bad-1,,oriya,8_bad,khɔrap(ɔ),kʰ.ɔ.r.a.p.ɔ,kʰ ɔ r a p ɔ,,Dunn2012,,false,^ kʰ . ɔ . r . a . p . ɔ $,default
urdu-8_bad-1,,urdu,8_bad,bʊɾɑ,b.ʊ.ɾ.ɑ,b ʊ ɾ ɑ,,Dunn2012,,false,^ b . ʊ . ɾ . ɑ $,default
swedish-8_bad-2,,swedish,8_bad,und,u.n.d,u n d,,Dunn2012,,false,^ u . n . d $,default
swedish-8_bad-3,,swedish,8_bad,'ʉ:səl,ʉː.s.ə.l,ʉː s ə l,,Dunn2012,,false,^ ʉː . s . ə . l $,default
urdu-8_bad-2,,urdu,8_bad,χəɾɑb,χ.ə.ɾ.ɑ.b,χ ə ɾ ɑ b,,Dunn2012,,false,^ χ . ə . ɾ . ɑ . b $,default
czech-8_bad-1,,czech,8_bad,zliː,z.l.iː,z l iː,,Dunn2012,,false,^ z . l . iː $,default
czech-9_bark-1,,czech,9_bark,kuːra,k.uː.r.a,k uː r a,,Dunn2012,,false,^ k . uː . r . a $,default
catalan-9_bark-1,,catalan,9_bark,əs'kɔrsə,ə.s.k.ɔ.r.s.ə,ə s k ɔ r s ə,,Dunn2012,,false,^ ə . s . k . ɔ . r . s . ə $,default
bretonst-9_bark-1,,bretonst,9_bark,rysk,r.y.s.k,r y s k,,Dunn2012,,false,^ r . y . s . k $,default
danish-9_bark-1,,danish,9_bark,b̥ɑːg̥ʰ,b̥.ɑː.g̥ʰ,b̥/b ɑː g̥ʰ,,Dunn2012,,false,^ b̥ . ɑː . g̥ʰ $,default
dutchlist-9_bark-1,,dutchlist,9_bark,sχɔrs,s.χ.ɔ.r.s,s χ ɔ r s,,Dunn2012,,false,^ s . χ . ɔ . r . s $,default
english-9_bark-1,,english,9_bark,bɑ:k,b.ɑː.k,b ɑː k,,Dunn2012,,false,^ b . ɑː . k $,default
french-9_bark-1,,french,9_bark,ekɔʀs,e.k.ɔ.ʀ.s,e k ɔ ʀ s,,Dunn2012,,false,^ e . k . ɔ . ʀ . s $,default
german-9_bark-1,,german,9_bark,'rɪndə,r.ɪ.n.d.ə,r ɪ n d ə,,Dunn2012,,false,^ r . ɪ . n . d . ə $,default
greekmod-9_bark-1,,greekmod,9_bark,ðe̞ˈ(n)dro̞fluˌða,ð.e̞.n.d.r.o̞.f.l.u.ð.a,ð e̞ n d r o̞ f l u ð a,,Dunn2012,,false,^ ð . e̞ . n . d . r . o̞ . f . l . u . ð . a $,default
italian-9_bark-1,,italian,9_bark,'skɔrdza,s.k.ɔ.r.d.z.a,s k ɔ r d z a,,Dunn2012,,false,^ s . k . ɔ . r . d . z . a $,default
marathi-9_bark-1,,marathi,9_bark,sal,s.a.l,s a l,,Dunn2012,,false,^ s . a . l $,default
polish-9_bark-1,,polish,9_bark,ˈkɔra,k.ɔ.r.a,k ɔ r a,,Dunn2012,,false,^ k . ɔ . r . a $,default
russian-9_bark-1,,russian,9_bark,ko'ra,k.o.r.a,k o r a,,Dunn2012,,false,^ k . o . r . a $,default
spanish-9_bark-1,,spanish,9_bark,koɾ'teθa,k.o.ɾ.t.e.θ.a,k o ɾ t e θ a,,Dunn2012,,false,^ k . o . ɾ . t . e . θ . a $,default
swedish-9_bark-1,,swedish,9_bark,bark,b.a.r.k,b a r k,,Dunn2012,,false,^ b . a . r . k $,default
bihari-9_bark-1,,bihari,9_bark,chal,cʰ.a.l,cʰ a l,,Dunn2012,,false,^ cʰ . a . l $,default
oriya-9_bark-1,,oriya,9_bark,čheli,č.h.e.l.i,č/tʃ h e l i,,Dunn2012,,false,^ č . h . e . l . i $,default
oriya-9_bark-2,,oriya,9_bark,bɔkɔḷɔ,b.ɔ.k.ɔ.ɭ.ɔ,b ɔ k ɔ ɭ ɔ,,Dunn2012,,false,^ b . ɔ . k . ɔ . ɭ . ɔ $,default
urdu-9_bark-1,,urdu,9_bark,ʧɑl,ʧ.ɑ.l,tʃ ɑ l,,Dunn2012,,false,^ ʧ . ɑ . l $,default
german-9_bark-2,,german,9_bark,'bɔrkə,b.ɔ.r.k.ə,b ɔ r k ə,,Dunn2012,,false,^ b . ɔ . r . k . ə $,default
italian-9_bark-2,,italian,9_bark,kor'tettʃa,k.o.r.t.e.t.ʧ.a,k o r t e t tʃ a,,Dunn2012,,false,^ k . o . r . t . e . t . ʧ . a $,default
armenianmod-9_bark-1,,armenianmod,9_bark,kɛˈʁɛv,k.ɛ.ʁ.ɛ.v,k ɛ ʁ ɛ v,,Dunn2012,,false,^ k . ɛ . ʁ . ɛ . v $,default
portuguesest-9_bark-1,,portuguesest,9_bark,ˈkaʃkɐ,k.a.ʃ.k.ɐ,k a ʃ k ɐ,,Dunn2012,,false,^ k . a . ʃ . k . ɐ $,default
german-10_because-1,,german,10_because,va‿il,v.ai.l,v ai l,,Dunn2012,,false,^ v . ai . l $,default
bretonst-10_because-1,,bretonst,10_because,pɛ'gwi:r,p.ɛ.g.w.iː.r,p ɛ g w iː r,,Dunn2012,,false,^ p . ɛ . g . w . iː . r $,default
marathi-10_because-1,,marathi,10_because,'kaɾəɳ,k.a.ɾ.ə.ɳ,k a ɾ ə ɳ,,Dunn2012,,false,^ k . a . ɾ . ə . ɳ $,default
swedish-10_because-1,,swedish,10_because,e'me:dan,e.m.eː.d.a.n,e m eː d a n,,Dunn2012,,false,^ e . m . eː . d . a . n $,default
armenianmod-10_because-1,,armenianmod,10_because,voɾovhɛˈtɛv,v.o.ɾ.o.v.h.ɛ.t.ɛ.v,v o ɾ o v h ɛ t ɛ v,,Dunn2012,,false,^ v . o . ɾ . o . v . h . ɛ . t . ɛ . v $,default
english-10_because-1,,english,10_because,bɪkɒz,b.ɪ.k.ɒ.z,b ɪ k ɒ z,,Dunn2012,,false,^ b . ɪ . k . ɒ . z $,default
oriya-10_because-1,,oriya,10_because,karɔṇɔ,k.a.r.ɔ.ɳ.ɔ,k a r ɔ ɳ ɔ,,Dunn2012,,false,^ k . a . r . ɔ . ɳ . ɔ $,default
oriya-10_because-2,,oriya,10_because,hetu,h.e.t.u,h e t u,,Dunn2012,,false,^ h . e . t . u $,default
oriya-10_because-3,,oriya,10_because,jogu,j.o.g.u,j o g u,,Dunn2012,,false,^ j . o . g . u $,default
